protocol,subset,loss_name,loss_label,n_seeds,nrmse_radial_mean,nrmse_radial_std,nrmse_radial_sem,nrmse_tangential_mean,nrmse_tangential_std,nrmse_tangential_sem,nrmse_3d_mean,nrmse_3d_std,nrmse_3d_sem,direction_error_median_deg_mean,direction_error_median_deg_std,direction_error_median_deg_sem,direction_error_p90_deg_mean,direction_error_p90_deg_std,direction_error_p90_deg_sem,vector_gain_through_origin_mean,vector_gain_through_origin_std,vector_gain_through_origin_sem,octant_nrmse_3d_mean_mean,octant_nrmse_3d_mean_std,octant_nrmse_3d_mean_sem,octant_nrmse_3d_std_mean,octant_nrmse_3d_std_std,octant_nrmse_3d_std_sem,worst_octant_nrmse_3d_mean,worst_octant_nrmse_3d_std,worst_octant_nrmse_3d_sem
matched_unweighted_practical,observed_test_global_parent_weighted,unweighted,Unweighted,10,0.062323055875321366,0.0030790400008220403,0.0009736779409364366,0.3177971826693259,0.01033724942587434,0.003268925292703083,0.25859650289494757,0.007787310632896201,0.002462563844719934,8.967228628435759,0.43247073034256645,0.1367592529239001,27.13198504407427,1.3897073248463174,0.439464042753387,0.9483928613357552,0.006127322890690506,0.0019376296293868922,0.19630789112889319,0.0033222769123238153,0.0010505962060734782,0.08321636995726332,0.007267920570077578,0.0022983182854634555,0.33279181287019693,0.01747364753260713,0.005525652523401985
matched_unweighted_practical,observed_test_unweighted,unweighted,Unweighted,10,0.04910101161047899,0.0022356986903175626,0.0007069900023258932,0.25672207109267486,0.01005502519491096,0.0031796781546297127,0.20963132916895968,0.007957512562491838,0.002516386420687717,6.575763661558382,0.25760583303695,0.08146211709418125,21.82571838799668,1.0292001494197436,0.32546166403520127,0.9585933315308266,0.006485614808019777,0.002050931481985817,0.17259725406903198,0.006697346195498466,0.0021178868256438487,0.07282584313842964,0.005000666931838208,0.0015813497324494716,0.2986821447638811,0.016316435320305828,0.005159709890698541
matched_unweighted_practical,query_region_primary_support,unweighted,Unweighted,10,0.12451382258576796,0.004292171434446902,0.0013573037840764305,0.315972688252083,0.006798828102553954,0.002149978222403134,0.26691915154181334,0.005528078441418301,0.0017481318958955524,10.006285898233005,0.2827872921417051,0.08942519365192231,29.195869817041153,1.4774435995118158,0.4672086888894973,0.9380932224524136,0.0030505489481101903,0.0009646682789859003,0.20881360514208464,0.004882538999331926,0.0015439944002488223,0.09543470573917016,0.004314892797949381,0.001364488910097676,0.3825571291021282,0.018252553108687404,0.005771964093663908
matched_unweighted_practical,query_common_strict_support,unweighted,Unweighted,10,0.08864264683110779,0.010750871150469821,0.0033997239666479434,0.19601828899189946,0.01194873569476163,0.00377852199548012,0.16143551984984822,0.009411321348469986,0.002976121125293238,4.651549865957282,0.5306442510918268,0.16780444607244638,14.275279741694238,1.1359966903031338,0.3592336955770817,0.9694464201557176,0.007695384890870364,0.002433494372679663,0.15535875385157566,0.008644306209671802,0.0027335696414499933,0.07207563119865748,0.0076995767855036,0.0024348199661549095,0.26408417894645947,0.025832467537654592,0.008168943500134997
matched_unweighted_practical,query_region_primary_near_octant_boundary,unweighted,Unweighted,10,0.10730494416310662,0.0041729061359103,0.0013195887851568697,0.27673954321686645,0.0055584513586023395,0.0017577366556440755,0.2323727732359858,0.0044914832495337766,0.001420331714102114,8.295182425642853,0.30431676134147856,0.09623340960049499,18.89558924351004,0.8005899259198267,0.25316876376921255,0.9651291616877256,0.004980136928825806,0.0015748575754605406,0.19946173376650203,0.004657732321462954,0.0014729042867206502,0.08015850101826567,0.003614273364512592,0.0011429335918339775,0.32642768771691,0.01860235081573198,0.005882579841120426
matched_unweighted_practical,query_region_primary_far_from_octant_boundary,unweighted,Unweighted,10,0.11158366414440786,0.005265917569886587,0.0016652293491540512,0.34109580815062657,0.01198912438644739,0.003791294021224251,0.2795509714066598,0.009630933168502063,0.0030455684805328737,12.606285813093944,0.6082105246081276,0.19233305546475724,33.76645153189892,2.0542482627806287,0.6496103389830884,0.9225584894654222,0.0047913802462139065,0.0015151674713974304,0.22229649966471957,0.008615254028790152,0.002724382535191872,0.10831795243020208,0.010605656952051526,0.0033538032050882,0.3902187000602998,0.013570569037116497,0.004291390730184621
matched_raw_operational_structure,observed_test_octant_parent_weighted,unweighted,Unweighted,10,0.061319859035614155,0.003809658812149779,0.0012047198954524849,0.3186976809899772,0.009350695360207788,0.0029569495044625203,0.25531041742222654,0.007155873296704545,0.0022628858265164235,8.98079907519538,0.36907596989966174,0.11671206945186774,27.144369911153557,0.9005118944767,0.28476686466195733,0.9491040028460851,0.005850318582099754,0.0018500331757042,0.20183420414027106,0.004516469312125034,0.001428233000856904,0.08705877885490682,0.006151368094160689,0.0019452333903636884,0.34642666651458914,0.019437751551289385,0.006146756749454568
matched_raw_operational_structure,observed_test_global_parent_weighted,unweighted,Unweighted,10,0.06269790566059329,0.0036457753451658785,0.001152895392801072,0.3190180081551425,0.011187974550848974,0.0035379481984682067,0.2596055184187413,0.008661567446019773,0.002739028123659001,9.017755123132186,0.4957189883281361,0.15676010825113343,27.048950464166417,0.7838791676973932,0.2478843580280849,0.9499459470164006,0.006273812501288153,0.0019839537116908626,0.19837753507655612,0.004484741484176564,0.001418199780704193,0.08091552035457657,0.006864815367062261,0.0021708452276441577,0.3293756936402688,0.018319335153247133,0.005793082430425068
matched_raw_operational_structure,observed_test_unweighted,unweighted,Unweighted,10,0.04961793920836144,0.002471713690394103,0.0007816244985465613,0.26131883962604674,0.013057571035426993,0.004129166518139247,0.21335753888064307,0.010441544427664014,0.0033019062681257537,6.656764324978164,0.29274503959210385,0.09257410988272177,21.99109756629995,0.8429655429360843,0.2665691104718488,0.9591898602151587,0.006871061850054,0.002172820539006098,0.17809411884617682,0.009286439517847262,0.002936630022979321,0.07084919914075101,0.005748536229000953,0.0018178467695638292,0.2969055451347381,0.01658079477828914,0.005243307691522026
matched_raw_operational_structure,query_region_primary_support,unweighted,Unweighted,10,0.1257452286209663,0.0044208368305612,0.0013979913548533263,0.31580258444939063,0.013035038728103068,0.0041220411769309975,0.2670026877263051,0.010016222833738563,0.0031674077706399873,10.030161772910912,0.30095548863274185,0.09517048184083782,29.525351957219122,2.5514997047084003,0.806855051612559,0.9368079265214382,0.005319504190674793,0.0016821749265342972,0.21360797657264566,0.007710179432861581,0.0024381728176427883,0.09354605255246064,0.00857650373530873,0.0027121286164517454,0.38201918863110085,0.03739786178179902,0.011826242285064785
