seed_pair_index,reference_seed,label_seed,noise_fraction,noise_realization,working_model,n_basis,regularization_strength,penalty_power
0,20260805,20260804,0.2,7,gls_flattened,1795,0.0001,2.0
0,20260805,20260804,0.2,7,ols,1795,0.0001,2.0
0,20260805,20260804,0.2,8,gls_correct,1795,0.0001,2.0
0,20260805,20260804,0.2,8,gls_flattened,1795,0.0001,2.0
0,20260805,20260804,0.2,8,ols,1795,0.0001,2.0
0,20260805,20260804,0.2,9,gls_correct,1795,0.0001,2.0
0,20260805,20260804,0.2,9,gls_flattened,1795,0.0001,2.0
0,20260805,20260804,0.2,9,ols,1795,0.0001,2.0
0,20260805,20260804,0.2,10,gls_correct,1795,0.0001,2.0
0,20260805,20260804,0.2,10,gls_flattened,1795,0.0001,2.0
0,20260805,20260804,0.2,10,ols,1795,0.0001,2.0
0,20260805,20260804,0.2,11,gls_correct,1795,0.0001,2.0
0,20260805,20260804,0.2,11,gls_flattened,1795,0.0001,2.0
0,20260805,20260804,0.2,11,ols,1795,0.0001,2.0
0,20260805,20260804,0.4,0,gls_correct,1539,0.0001,2.0
0,20260805,20260804,0.4,0,gls_flattened,1539,0.0001,2.0
0,20260805,20260804,0.4,0,ols,1539,0.0001,2.0
0,20260805,20260804,0.4,1,gls_correct,1539,0.0001,2.0
0,20260805,20260804,0.4,1,gls_flattened,1539,0.0001,2.0
0,20260805,20260804,0.4,1,ols,1539,0.0001,2.0
0,20260805,20260804,0.4,2,gls_correct,1539,0.0001,2.0
0,20260805,20260804,0.4,2,gls_flattened,1539,0.0001,2.0
0,20260805,20260804,0.4,2,ols,1539,0.0001,2.0
0,20260805,20260804,0.4,3,gls_correct,1539,0.0001,2.0
0,20260805,20260804,0.4,3,gls_flattened,1539,0.0001,2.0
0,20260805,20260804,0.4,3,ols,1539,0.0001,2.0
0,20260805,20260804,0.4,4,gls_correct,1539,0.0001,2.0
0,20260805,20260804,0.4,4,gls_flattened,1539,0.0001,2.0
0,20260805,20260804,0.4,4,ols,1539,0.0001,2.0
0,20260805,20260804,0.4,5,gls_correct,1539,0.0001,2.0
0,20260805,20260804,0.4,5,gls_flattened,1539,0.0001,2.0
0,20260805,20260804,0.4,5,ols,1539,0.0001,2.0
0,20260805,20260804,0.4,6,gls_correct,1539,0.0001,2.0
0,20260805,20260804,0.4,6,gls_flattened,1539,0.0001,2.0
0,20260805,20260804,0.4,6,ols,1539,0.0001,2.0
0,20260805,20260804,0.4,7,gls_correct,1539,0.0001,2.0
0,20260805,20260804,0.4,7,gls_flattened,1539,0.0001,2.0
0,20260805,20260804,0.4,7,ols,1539,0.0001,2.0
0,20260805,20260804,0.4,8,gls_correct,1539,0.0001,2.0
0,20260805,20260804,0.4,8,gls_flattened,1539,0.0001,2.0
0,20260805,20260804,0.4,8,ols,1539,0.0001,2.0
0,20260805,20260804,0.4,9,gls_correct,1539,0.0001,2.0
0,20260805,20260804,0.4,9,gls_flattened,1539,0.0001,2.0
0,20260805,20260804,0.4,9,ols,1539,0.0001,2.0
0,20260805,20260804,0.4,10,gls_correct,1539,0.0001,2.0
0,20260805,20260804,0.4,10,gls_flattened,1539,0.0001,2.0
0,20260805,20260804,0.4,10,ols,1539,0.0001,2.0
0,20260805,20260804,0.4,11,gls_correct,1539,0.0001,2.0
0,20260805,20260804,0.4,11,gls_flattened,1539,0.0001,2.0
0,20260805,20260804,0.4,11,ols,1539,0.0001,2.0
0,20260805,20260804,0.8,0,gls_correct,514,0.0001,1.0
0,20260805,20260804,0.8,0,gls_flattened,514,0.0001,2.0
0,20260805,20260804,0.8,0,ols,514,0.0001,2.0
0,20260805,20260804,0.8,1,gls_correct,514,0.0001,2.0
0,20260805,20260804,0.8,1,gls_flattened,514,0.0001,2.0
0,20260805,20260804,0.8,1,ols,514,0.0001,2.0
0,20260805,20260804,0.8,2,gls_correct,514,0.0001,1.0
0,20260805,20260804,0.8,2,gls_flattened,514,0.0001,1.0
0,20260805,20260804,0.8,2,ols,514,0.0001,2.0
0,20260805,20260804,0.8,3,gls_correct,514,0.0001,1.0
0,20260805,20260804,0.8,3,gls_flattened,514,0.0001,1.0
0,20260805,20260804,0.8,3,ols,514,0.0001,1.0
0,20260805,20260804,0.8,4,gls_correct,514,0.0001,1.0
0,20260805,20260804,0.8,4,gls_flattened,514,0.0001,1.0
0,20260805,20260804,0.8,4,ols,514,0.0001,1.0
0,20260805,20260804,0.8,5,gls_correct,514,0.0001,2.0
0,20260805,20260804,0.8,5,gls_flattened,514,0.0001,2.0
0,20260805,20260804,0.8,5,ols,514,0.0001,2.0
0,20260805,20260804,0.8,6,gls_correct,514,0.0001,2.0
0,20260805,20260804,0.8,6,gls_flattened,514,0.0001,1.0
0,20260805,20260804,0.8,6,ols,514,0.0001,1.0
0,20260805,20260804,0.8,7,gls_correct,514,0.0001,1.0
0,20260805,20260804,0.8,7,gls_flattened,514,0.0001,1.0
0,20260805,20260804,0.8,7,ols,514,0.0001,1.0
0,20260805,20260804,0.8,8,gls_correct,514,0.0001,1.0
0,20260805,20260804,0.8,8,gls_flattened,514,0.0001,2.0
0,20260805,20260804,0.8,8,ols,514,0.0001,2.0
0,20260805,20260804,0.8,9,gls_correct,514,0.0001,1.0
0,20260805,20260804,0.8,9,gls_flattened,514,0.0001,1.0
0,20260805,20260804,0.8,9,ols,514,0.0001,2.0
0,20260805,20260804,0.8,10,gls_correct,514,0.0001,1.0
0,20260805,20260804,0.8,10,gls_flattened,514,0.0001,1.0
0,20260805,20260804,0.8,10,ols,514,0.0001,1.0
0,20260805,20260804,0.8,11,gls_correct,514,0.0001,2.0
0,20260805,20260804,0.8,11,gls_flattened,514,0.0001,2.0
0,20260805,20260804,0.8,11,ols,514,0.0001,2.0
1,20260815,20260814,0.05,0,gls_correct,1539,0.0001,2.0
1,20260815,20260814,0.05,0,gls_flattened,1539,1e-06,2.0
1,20260815,20260814,0.05,0,ols,1539,1e-06,2.0
1,20260815,20260814,0.05,1,gls_correct,1539,1e-06,2.0
1,20260815,20260814,0.05,1,gls_flattened,1539,1e-06,2.0
1,20260815,20260814,0.05,1,ols,1539,1e-06,2.0
1,20260815,20260814,0.05,2,gls_correct,1539,1e-06,2.0
1,20260815,20260814,0.05,2,gls_flattened,1539,1e-06,2.0
1,20260815,20260814,0.05,2,ols,1539,0.0001,2.0
1,20260815,20260814,0.05,3,gls_correct,1539,0.0001,2.0
1,20260815,20260814,0.05,3,gls_flattened,1539,0.0001,2.0
1,20260815,20260814,0.05,3,ols,1539,0.0001,2.0
1,20260815,20260814,0.05,4,gls_correct,1539,1e-06,2.0
1,20260815,20260814,0.05,4,gls_flattened,1539,1e-06,2.0
1,20260815,20260814,0.05,4,ols,1539,1e-06,2.0
1,20260815,20260814,0.05,5,gls_correct,1539,1e-06,2.0
1,20260815,20260814,0.05,5,gls_flattened,1539,1e-06,2.0
1,20260815,20260814,0.05,5,ols,1539,1e-06,2.0
1,20260815,20260814,0.05,6,gls_correct,1539,1e-06,2.0
1,20260815,20260814,0.05,6,gls_flattened,1539,0.0001,2.0
1,20260815,20260814,0.05,6,ols,1539,0.0001,2.0
1,20260815,20260814,0.05,7,gls_correct,1539,1e-06,2.0
1,20260815,20260814,0.05,7,gls_flattened,1539,1e-06,2.0
1,20260815,20260814,0.05,7,ols,1539,1e-06,2.0
1,20260815,20260814,0.05,8,gls_correct,1539,1e-06,2.0
1,20260815,20260814,0.05,8,gls_flattened,1539,1e-06,2.0
1,20260815,20260814,0.05,8,ols,1539,0.0001,2.0
1,20260815,20260814,0.05,9,gls_correct,1539,1e-06,2.0
1,20260815,20260814,0.05,9,gls_flattened,1539,1e-06,2.0
1,20260815,20260814,0.05,9,ols,1539,1e-06,2.0
1,20260815,20260814,0.05,10,gls_correct,1539,1e-06,2.0
1,20260815,20260814,0.05,10,gls_flattened,1539,0.0001,2.0
1,20260815,20260814,0.05,10,ols,1539,0.0001,2.0
1,20260815,20260814,0.05,11,gls_correct,1539,1e-06,2.0
1,20260815,20260814,0.05,11,gls_flattened,1539,1e-06,2.0
1,20260815,20260814,0.05,11,ols,1539,1e-06,2.0
1,20260815,20260814,0.1,0,gls_correct,1795,0.0001,2.0
1,20260815,20260814,0.1,0,gls_flattened,1795,0.0001,2.0
1,20260815,20260814,0.1,0,ols,1795,0.0001,2.0
1,20260815,20260814,0.1,1,gls_correct,1795,0.0001,2.0
1,20260815,20260814,0.1,1,gls_flattened,1795,0.0001,2.0
1,20260815,20260814,0.1,1,ols,1795,0.0001,2.0
1,20260815,20260814,0.1,2,gls_correct,1795,0.0001,2.0
1,20260815,20260814,0.1,2,gls_flattened,1795,0.0001,2.0
1,20260815,20260814,0.1,2,ols,1795,0.0001,2.0
1,20260815,20260814,0.1,3,gls_correct,1795,0.0001,2.0
1,20260815,20260814,0.1,3,gls_flattened,1795,0.0001,2.0
1,20260815,20260814,0.1,3,ols,1795,0.0001,2.0
1,20260815,20260814,0.1,4,gls_correct,1795,0.0001,2.0
1,20260815,20260814,0.1,4,gls_flattened,1795,0.0001,2.0
