protocol,comparison,noise_fraction,metric,n_seed_pairs,n_runs,delta_mean,delta_median,delta_ci_low,delta_ci_high,seed_mean_wins_left_lower,seed_mean_losses_left_higher,seed_mean_ties,seed_mean_sign_test_pvalue_two_sided
matched_correct_gls_practical,flattened_minus_ols,0.1,test_hidden_nrmse_tangential,5,60,-0.011312653624201823,-0.011139416593662466,-0.013671096959291074,-0.008872292652359379,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.1,test_hidden_nrmse_3d,5,60,-0.008459645402122903,-0.008321883300047545,-0.010257893586257708,-0.006734368445418415,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.1,test_working_measurement_whitened_residual_rms,5,60,0.028048884251224947,0.02564079295443622,0.016524260203703723,0.041144951235921844,0,5,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.1,test_true_measurement_whitened_residual_rms,5,60,-0.041374394800291106,-0.04194180296813166,-0.05809007864925559,-0.0242792838055233,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.2,test_observed_nrmse_radial,5,60,-0.0008159600324293405,-0.0007590162813730789,-0.001398788115547163,-0.00027473958982065664,4,1,0,0.375
matched_correct_gls_practical,flattened_minus_ols,0.2,test_latent_nrmse_radial,5,60,-0.001438646150523284,-0.0013316164684941956,-0.002298757811528765,-0.0006147129154678981,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.2,test_hidden_nrmse_tangential,5,60,-0.010996721740273148,-0.010792958323377566,-0.013396259282439163,-0.008569889562677947,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.2,test_hidden_nrmse_3d,5,60,-0.008288592823659995,-0.00825416701124973,-0.010015967609589532,-0.0065305290185366125,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.2,test_working_measurement_whitened_residual_rms,5,60,-0.0028910172111029455,-0.004398344265844734,-0.009705422163226955,0.005106716261366191,3,2,0,1.0
matched_correct_gls_practical,flattened_minus_ols,0.2,test_true_measurement_whitened_residual_rms,5,60,-0.014896430265996774,-0.014347757267030081,-0.02100140281752968,-0.008680792157859813,5,0,0,0.0625
